fold,rmse_cli,mae_cli,r2_cli,rmse_meth,mae_meth,r2_meth,rmse_comb,mae_comb,r2_comb
1,11.93472850545697,9.535367908999412,0.20791719352169935,8.759288550531087,6.941466096748778,0.5733387860503301,8.68050312229901,6.824611056006905,0.5809794780072679
2,12.499397448965443,10.056854529273071,0.14343900987487546,8.569730879556113,6.911487472751904,0.5973622377938492,8.521069794785182,6.84752384235686,0.601921812455104
3,12.632883118675363,10.045568046615184,0.15689881480481904,8.682073564948531,6.852815249303575,0.6017812850357306,8.599842365534021,6.757429778363276,0.609288921877332
4,11.745021829405475,9.522410742441814,0.21262087338371838,8.39649227093702,6.674988042740595,0.5975869779789774,8.343303279166939,6.596094467526391,0.6026691358112569
5,12.461353342757691,9.975505317960467,0.21160526748568587,8.46079731424924,6.640016853241693,0.6365573627274719,8.351911749371478,6.536910924457368,0.6458517614393503
